# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	618
#@/user_id	78c86b7f-d08c-48a9-9dfa-412165002994
ai fa 	爱发	c=0 d=0.194176 t=598
wei shen me 	为什么	c=1 d=1 t=136
wei shi yong 	未使用	c=1 d=1 t=521
wei xian 	危险	c=1 d=1 t=226
wei xin 	微信	c=1 d=1 t=228
wen jian 	文件	c=10 d=6.216 t=459
wen ti 	问题	c=1 d=1 t=518
xi tong 	系统	c=1 d=1 t=264
xia 	下	c=2 d=1.1764 t=426
xia ci 	下次	c=1 d=1 t=181
xia mian 	下面	c=1 d=1 t=474
xiang mu 	项目	c=11 d=5.41228 t=511
xiang ying 	响应	c=1 d=1 t=363
xiao he 	小鹤	c=1 d=1 t=574
xin 	信	c=1 d=1 t=212
xin 	新	c=4 d=3.44915 t=219
xiu fu 	修复	c=1 d=1 t=513
xiu gai 	修改	c=2 d=1.29376 t=523
xu qiu 	需求	c=1 d=1 t=206
xu yao 	需要	c=4 d=1.83413 t=593
yang 	样	c=1 d=1 t=62
yao 	要	c=1 d=1 t=506
ye 	也	c=1 d=1 t=169
ye wu 	业务	c=3 d=2.2143 t=341
yi dong 	易懂	c=1 d=1 t=33
yi dong 	移动	c=1 d=1 t=32
yi ge 	一个	c=4 d=3.13554 t=218
yi jing 	已经	c=1 d=1 t=160
yi xia 	一下	c=7 d=1.88985 t=618
yi xia 	以下	c=2 d=1.78663 t=557
yi xie 	一些	c=5 d=3.86845 t=601
yi yang 	一样	c=2 d=1.91851 t=69
yi zhong 	一种	c=1 d=1 t=609
ying she 	映射	c=1 d=1 t=415
ying wen 	英文	c=2 d=1.97045 t=551
ying xiang 	影响	c=1 d=1 t=153
ying yong 	应用	c=5 d=3.11801 t=439
yong 	用	c=1 d=1 t=530
yong hu 	用户	c=1 d=1 t=204
yong yu 	用于	c=1 d=1 t=478
you 	有	c=2 d=1.80654 t=603
you ge 	有个	c=1 d=1 t=241
yuan li 	原理	c=2 d=1.74082 t=133
yue ding 	约定	c=1 d=1 t=267
yun xing 	运行	c=2 d=1.19014 t=500
zai 	再	c=2 d=1.92774 t=197
zai 	在	c=6 d=3.05564 t=588
zen me 	怎么	c=1 d=1 t=61
zeng jia 	增加	c=1 d=1 t=145
zhao dao 	找到	c=2 d=1.88692 t=494
zhe zhong 	这种	c=1 d=1 t=111
zheng he 	整合	c=1 d=1 t=348
zhi 	值	c=4 d=3.13268 t=165
zhi ding 	指定	c=1 d=1 t=537
zhi hou 	之后	c=1 d=1 t=74
zhi jie 	直接	c=1 d=1 t=519
zhi xing 	执行	c=2 d=1.10807 t=473
zhi you 	只有	c=1 d=1 t=581
zhong 	中	c=1 d=1 t=179
zhong jian 	中间	c=2 d=1.91393 t=120
zhong wen 	中文	c=10 d=7.869 t=607
zhong wen ce shi 	中文测试	c=1 d=1 t=568
zhong wen shu ru 	中文输入	c=1 d=1 t=7
zhong ying wen 	中英文	c=1 d=1 t=597
zhu yao 	主要	c=4 d=3.32975 t=346
zhuan huan 	转换	c=1 d=1 t=333
zhuang pei 	装配	c=2 d=1.99501 t=456
zi duan 	字段	c=1 d=1 t=191
zi fu chuan 	字符串	c=1 d=1 t=193
zong jie 	总结	c=1 d=1 t=87
zuo 	做	c=3 d=2.3418 t=524
zuo bian 	左边	c=2 d=1.93239 t=57
zuo yong 	作用	c=7 d=4.45182 t=319
